




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (101)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
generation of precursor metabolites and energy (GO:0006091)	211	1	1.54	-	.65	1.00E00	1.00E00
positive regulation of signal transduction (GO:0009967)	423	2	3.09	-	.65	7.72E-01	1.00E00
tissue development (GO:0009888)	638	3	4.66	-	.64	6.32E-01	1.00E00
regulation of transcription by RNA polymerase II (GO:0006357)	860	4	6.28	-	.64	5.31E-01	1.00E00
response to stimulus (GO:0050896)	2398	11	17.52	-	.63	8.74E-02	1.00E00
instar larval or pupal morphogenesis (GO:0048707)	439	2	3.21	-	.62	7.73E-01	1.00E00
negative regulation of cellular process (GO:0048523)	1319	6	9.64	-	.62	3.05E-01	1.00E00
regulation of cell population proliferation (GO:0042127)	222	1	1.62	-	.62	1.00E00	1.00E00
segmentation (GO:0035282)	224	1	1.64	-	.61	1.00E00	1.00E00
mitochondrion organization (GO:0007005)	225	1	1.64	-	.61	1.00E00	1.00E00
regulation of developmental process (GO:0050793)	675	3	4.93	-	.61	4.90E-01	1.00E00
negative regulation of cellular metabolic process (GO:0031324)	679	3	4.96	-	.60	4.90E-01	1.00E00
post-embryonic animal morphogenesis (GO:0009886)	454	2	3.32	-	.60	7.76E-01	1.00E00
positive regulation of signaling (GO:0023056)	456	2	3.33	-	.60	7.76E-01	1.00E00
positive regulation of cell communication (GO:0010647)	458	2	3.35	-	.60	7.76E-01	1.00E00
biological regulation (GO:0065007)	4181	18	30.55	-	.59	6.25E-03	8.51E-01
metamorphosis (GO:0007552)	465	2	3.40	-	.59	7.78E-01	1.00E00
regulation of signaling (GO:0023051)	934	4	6.83	-	.59	3.23E-01	1.00E00
cell division (GO:0051301)	234	1	1.71	-	.58	1.00E00	1.00E00
signaling (GO:0023052)	1172	5	8.56	-	.58	2.79E-01	1.00E00
regulation of cell communication (GO:0010646)	938	4	6.85	-	.58	3.23E-01	1.00E00
regulation of cellular component organization (GO:0051128)	705	3	5.15	-	.58	4.92E-01	1.00E00
cell communication (GO:0007154)	1190	5	8.70	-	.57	2.81E-01	1.00E00
negative regulation of biological process (GO:0048519)	1445	6	10.56	-	.57	1.89E-01	1.00E00
regulation of cellular process (GO:0050794)	3613	15	26.40	-	.57	8.63E-03	7.84E-01
follicle cell of egg chamber development (GO:0030707)	241	1	1.76	-	.57	1.00E00	1.00E00
response to bacterium (GO:0009617)	241	1	1.76	-	.57	1.00E00	1.00E00
regulation of programmed cell death (GO:0043067)	242	1	1.77	-	.57	1.00E00	1.00E00
regulation of response to stimulus (GO:0048583)	996	4	7.28	-	.55	2.49E-01	1.00E00
embryo development (GO:0009790)	500	2	3.65	-	.55	5.89E-01	1.00E00
negative regulation of metabolic process (GO:0009892)	751	3	5.49	-	.55	3.77E-01	1.00E00
organophosphate biosynthetic process (GO:0090407)	251	1	1.83	-	.55	1.00E00	1.00E00
nitrogen compound transport (GO:0071705)	515	2	3.76	-	.53	5.92E-01	1.00E00
protein localization to organelle (GO:0033365)	262	1	1.91	-	.52	1.00E00	1.00E00
regulation of biological process (GO:0050789)	3942	15	28.81	-	.52	1.80E-03	6.29E-01
regulation of signal transduction (GO:0009966)	796	3	5.82	-	.52	2.87E-01	1.00E00
regulation of RNA biosynthetic process (GO:2001141)	1067	4	7.80	-	.51	1.90E-01	1.00E00
regulation of DNA-templated transcription (GO:0006355)	1067	4	7.80	-	.51	1.90E-01	1.00E00
epithelial cell development (GO:0002064)	270	1	1.97	-	.51	1.00E00	1.00E00
cell migration (GO:0016477)	272	1	1.99	-	.50	7.26E-01	1.00E00
regulation of transport (GO:0051049)	272	1	1.99	-	.50	7.26E-01	1.00E00
regulation of multicellular organismal development (GO:2000026)	273	1	2.00	-	.50	7.26E-01	1.00E00
positive regulation of response to stimulus (GO:0048584)	547	2	4.00	-	.50	4.42E-01	1.00E00
central nervous system development (GO:0007417)	276	1	2.02	-	.50	7.26E-01	1.00E00
positive regulation of cellular component organization (GO:0051130)	277	1	2.02	-	.49	7.26E-01	1.00E00
regulation of primary metabolic process (GO:0080090)	1671	6	12.21	-	.49	6.43E-02	1.00E00
regulation of cell cycle (GO:0051726)	279	1	2.04	-	.49	7.26E-01	1.00E00
nervous system process (GO:0050877)	559	2	4.09	-	.49	4.43E-01	1.00E00
imaginal disc development (GO:0007444)	560	2	4.09	-	.49	4.44E-01	1.00E00
sensory perception of chemical stimulus (GO:0007606)	281	1	2.05	-	.49	7.26E-01	1.00E00
regulation of response to stress (GO:0080134)	285	1	2.08	-	.48	7.26E-01	1.00E00
response to oxygen-containing compound (GO:1901700)	286	1	2.09	-	.48	7.26E-01	1.00E00
regulation of catabolic process (GO:0009894)	286	1	2.09	-	.48	7.26E-01	1.00E00
regulation of multicellular organismal process (GO:0051239)	576	2	4.21	-	.48	4.47E-01	1.00E00
intracellular transport (GO:0046907)	579	2	4.23	-	.47	4.48E-01	1.00E00
response to stress (GO:0006950)	1164	4	8.51	-	.47	1.46E-01	1.00E00
positive regulation of cellular process (GO:0048522)	1479	5	10.81	-	.46	7.31E-02	1.00E00
regulation of RNA metabolic process (GO:0051252)	1210	4	8.84	-	.45	1.09E-01	1.00E00
negative regulation of macromolecule biosynthetic process (GO:0010558)	607	2	4.44	-	.45	3.29E-01	1.00E00
cell fate commitment (GO:0045165)	305	1	2.23	-	.45	7.29E-01	1.00E00
regulation of cellular metabolic process (GO:0031323)	1837	6	13.42	-	.45	2.65E-02	1.00E00
carbohydrate derivative biosynthetic process (GO:1901137)	308	1	2.25	-	.44	7.30E-01	1.00E00
system process (GO:0003008)	628	2	4.59	-	.44	3.32E-01	1.00E00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1272	4	9.30	-	.43	8.12E-02	1.00E00
post-embryonic appendage morphogenesis (GO:0035120)	319	1	2.33	-	.43	7.33E-01	1.00E00
morphogenesis of an epithelium (GO:0002009)	320	1	2.34	-	.43	7.33E-01	1.00E00
epithelial cell differentiation (GO:0030855)	321	1	2.35	-	.43	7.33E-01	1.00E00
multicellular organismal process (GO:0032501)	2907	9	21.24	-	.42	1.95E-03	6.23E-01
regulation of cellular biosynthetic process (GO:0031326)	1625	5	11.88	-	.42	2.94E-02	1.00E00
imaginal disc-derived appendage morphogenesis (GO:0035114)	328	1	2.40	-	.42	7.35E-01	1.00E00
regulation of biosynthetic process (GO:0009889)	1644	5	12.01	-	.42	2.95E-02	1.00E00
appendage morphogenesis (GO:0035107)	330	1	2.41	-	.41	7.36E-01	1.00E00
positive regulation of transcription by RNA polymerase II (GO:0045944)	334	1	2.44	-	.41	5.23E-01	1.00E00
positive regulation of biological process (GO:0048518)	1673	5	12.23	-	.41	2.15E-02	1.00E00
imaginal disc-derived appendage development (GO:0048737)	335	1	2.45	-	.41	5.23E-01	1.00E00
cell motility (GO:0048870)	336	1	2.46	-	.41	5.23E-01	1.00E00
appendage development (GO:0048736)	338	1	2.47	-	.40	5.23E-01	1.00E00
regulation of metabolic process (GO:0019222)	2039	6	14.90	-	.40	1.04E-02	9.13E-01
multicellular organism development (GO:0007275)	2057	6	15.03	-	.40	7.48E-03	7.24E-01
tissue morphogenesis (GO:0048729)	345	1	2.52	-	.40	5.23E-01	1.00E00
negative regulation of macromolecule metabolic process (GO:0010605)	695	2	5.08	-	.39	2.47E-01	1.00E00
positive regulation of cellular metabolic process (GO:0031325)	698	2	5.10	-	.39	2.47E-01	1.00E00
anatomical structure development (GO:0048856)	2502	7	18.28	-	.38	1.75E-03	6.43E-01
establishment of localization in cell (GO:0051649)	719	2	5.25	-	.38	1.77E-01	1.00E00
anatomical structure morphogenesis (GO:0009653)	1441	4	10.53	-	.38	3.20E-02	1.00E00
cellular localization (GO:0051641)	1084	3	7.92	-	.38	9.03E-02	1.00E00
animal organ morphogenesis (GO:0009887)	723	2	5.28	-	.38	1.78E-01	1.00E00
defense response to other organism (GO:0098542)	369	1	2.70	-	.37	5.28E-01	1.00E00
developmental process (GO:0032502)	2633	7	19.24	-	.36	8.49E-04	4.16E-01
cellular component organization (GO:0016043)	2641	7	19.30	-	.36	8.46E-04	4.45E-01
defense response (GO:0006952)	382	1	2.79	-	.36	5.32E-01	1.00E00
mitotic cell cycle (GO:0000278)	385	1	2.81	-	.36	5.34E-01	1.00E00
negative regulation of signal transduction (GO:0009968)	385	1	2.81	-	.36	5.34E-01	1.00E00
sensory perception (GO:0007600)	385	1	2.81	-	.36	5.34E-01	1.00E00
cell morphogenesis involved in neuron differentiation (GO:0048667)	387	1	2.83	-	.35	5.34E-01	1.00E00
neuron projection morphogenesis (GO:0048812)	389	1	2.84	-	.35	5.35E-01	1.00E00
plasma membrane bounded cell projection morphogenesis (GO:0120039)	391	1	2.86	-	.35	3.74E-01	1.00E00
cell projection morphogenesis (GO:0048858)	393	1	2.87	-	.35	3.74E-01	1.00E00
regulation of gene expression (GO:0010468)	1594	4	11.65	-	.34	1.19E-02	1.00E00
cellular component organization or biogenesis (GO:0071840)	2805	7	20.50	-	.34	2.79E-04	2.93E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1608	4	11.75	-	.34	1.19E-02	1.00E00
response to external biotic stimulus (GO:0043207)	409	1	2.99	-	.33	3.75E-01	1.00E00
response to other organism (GO:0051707)	409	1	2.99	-	.33	3.75E-01	1.00E00
response to biotic stimulus (GO:0009607)	410	1	3.00	-	.33	3.75E-01	1.00E00
neuron projection development (GO:0031175)	419	1	3.06	-	.33	3.77E-01	1.00E00
positive regulation of metabolic process (GO:0009893)	845	2	6.18	-	.32	9.31E-02	1.00E00
positive regulation of RNA biosynthetic process (GO:1902680)	425	1	3.11	-	.32	3.78E-01	1.00E00
positive regulation of DNA-templated transcription (GO:0045893)	425	1	3.11	-	.32	3.78E-01	1.00E00
protein-containing complex assembly (GO:0065003)	428	1	3.13	-	.32	3.79E-01	1.00E00
negative regulation of response to stimulus (GO:0048585)	431	1	3.15	-	.32	3.80E-01	1.00E00
system development (GO:0048731)	1311	3	9.58	-	.31	2.46E-02	1.00E00
biological process involved in interspecies interaction between organisms (GO:0044419)	452	1	3.30	-	.30	2.66E-01	1.00E00
regulation of macromolecule metabolic process (GO:0060255)	1865	4	13.63	-	.29	2.99E-03	6.27E-01
cell morphogenesis (GO:0000902)	471	1	3.44	-	.29	2.67E-01	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	472	1	3.45	-	.29	2.67E-01	1.00E00
regionalization (GO:0003002)	476	1	3.48	-	.29	2.68E-01	1.00E00
nucleobase-containing compound metabolic process (GO:0006139)	1432	3	10.46	-	.29	1.25E-02	1.00E00
reproductive process (GO:0022414)	1433	3	10.47	-	.29	8.51E-03	7.83E-01
nervous system development (GO:0007399)	975	2	7.13	-	.28	4.80E-02	1.00E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	503	1	3.68	-	.27	2.75E-01	1.00E00
pattern specification process (GO:0007389)	505	1	3.69	-	.27	2.76E-01	1.00E00
organelle organization (GO:0006996)	1545	3	11.29	-	.27	6.14E-03	8.52E-01
cellular response to stress (GO:0033554)	537	1	3.92	-	.25	1.90E-01	1.00E00
oogenesis (GO:0048477)	541	1	3.95	-	.25	1.91E-01	1.00E00
epithelium development (GO:0060429)	546	1	3.99	-	.25	1.92E-01	1.00E00
multicellular organismal reproductive process (GO:0048609)	1103	2	8.06	-	.25	2.44E-02	1.00E00
neuron development (GO:0048666)	557	1	4.07	-	.25	1.95E-01	1.00E00
animal organ development (GO:0048513)	1135	2	8.29	-	.24	1.66E-02	1.00E00
sexual reproduction (GO:0019953)	1155	2	8.44	-	.24	1.70E-02	1.00E00
positive regulation of macromolecule biosynthetic process (GO:0010557)	578	1	4.22	-	.24	1.32E-01	1.00E00
female gamete generation (GO:0007292)	591	1	4.32	-	.23	1.33E-01	1.00E00
positive regulation of cellular biosynthetic process (GO:0031328)	593	1	4.33	-	.23	1.34E-01	1.00E00
positive regulation of biosynthetic process (GO:0009891)	600	1	4.38	-	.23	1.35E-01	1.00E00
cell cycle (GO:0007049)	603	1	4.41	-	.23	1.35E-01	1.00E00
plasma membrane bounded cell projection organization (GO:0120036)	633	1	4.63	-	.22	9.26E-02	1.00E00
cell development (GO:0048468)	1290	2	9.43	-	.21	5.50E-03	7.78E-01
cell projection organization (GO:0030030)	647	1	4.73	-	.21	9.34E-02	1.00E00
protein localization (GO:0008104)	672	1	4.91	-	.20	9.66E-02	1.00E00
germ cell development (GO:0007281)	679	1	4.96	-	.20	6.44E-02	1.00E00
neuron differentiation (GO:0030182)	705	1	5.15	-	.19	6.52E-02	1.00E00
cellular macromolecule localization (GO:0070727)	711	1	5.20	-	.19	6.56E-02	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	731	1	5.34	-	.19	4.47E-02	1.00E00
protein-containing complex organization (GO:0043933)	756	1	5.52	-	.18	4.50E-02	1.00E00
positive regulation of macromolecule metabolic process (GO:0010604)	757	1	5.53	-	.18	4.50E-02	1.00E00
generation of neurons (GO:0048699)	760	1	5.55	-	.18	4.51E-02	1.00E00
cell differentiation (GO:0030154)	1541	2	11.26	-	.18	1.20E-03	4.91E-01
cellular developmental process (GO:0048869)	1543	2	11.28	-	.18	1.20E-03	4.66E-01
macromolecule biosynthetic process (GO:0009059)	1563	2	11.42	-	.18	8.03E-04	4.54E-01
neurogenesis (GO:0022008)	811	1	5.93	-	.17	3.10E-02	1.00E00
gamete generation (GO:0007276)	876	1	6.40	-	.16	2.15E-02	1.00E00
developmental process involved in reproduction (GO:0003006)	894	1	6.53	-	.15	2.23E-02	1.00E00
nucleobase-containing compound biosynthetic process (GO:0034654)	929	1	6.79	-	.15	1.47E-02	1.00E00
cellular component assembly (GO:0022607)	1037	1	7.58	-	.13	6.78E-03	8.60E-01
cellular component biogenesis (GO:0044085)	1217	1	8.89	-	.11	2.12E-03	6.50E-01
positive regulation of maintenance of sister chromatid cohesion (GO:0034093)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane to endosome transport (GO:0048227)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of maintenance of sister chromatid cohesion (GO:0034091)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UMP metabolic process (GO:0046049)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP metabolic process (GO:0046048)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of flagellated sperm motility (GO:1901317)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
oocyte axis specification (GO:0007309)	113	0	.83	-	 < 0.01	1.00E00	1.00E00
oocyte construction (GO:0007308)	118	0	.86	-	 < 0.01	1.00E00	1.00E00
IMP metabolic process (GO:0046040)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
eggshell chorion gene amplification (GO:0007307)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
egg chorion assembly (GO:0007306)	86	0	.63	-	 < 0.01	1.00E00	1.00E00
vitelline membrane formation involved in chorion-containing eggshell formation (GO:0007305)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
chorion-containing eggshell formation (GO:0007304)	55	0	.40	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum unfolded protein response (GO:0030968)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
nurse cell nucleus anchoring (GO:0007302)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
female germline ring canal formation (GO:0007301)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
RNA (guanine-N7)-methylation (GO:0036265)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ovarian nurse cell to oocyte transport (GO:0007300)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
maintenance of mitotic sister chromatid cohesion (GO:0034088)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
7-methylguanosine cap hypermethylation (GO:0036261)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of mitotic sister chromatid cohesion (GO:0034087)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA capping (GO:0036260)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
maintenance of sister chromatid cohesion (GO:0034086)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
establishment of sister chromatid cohesion (GO:0034085)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
inter-Golgi cisterna vesicle-mediated transport (GO:0048219)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alkanesulfonate transmembrane transport (GO:0042918)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of G2/MI transition of meiotic cell cycle (GO:0110032)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of G2/MI transition of meiotic cell cycle (GO:0110031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CENP-A containing chromatin assembly (GO:0034080)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of Golgi vesicle fusion to target membrane (GO:0048215)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of G2/MI transition of meiotic cell cycle (GO:0110030)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of Golgi vesicle fusion to target membrane (GO:0048214)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
GTP metabolic process (GO:0046039)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Golgi vesicle docking (GO:0048211)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GMP metabolic process (GO:0046037)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi vesicle fusion to target membrane (GO:0048210)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adrenergic receptor signaling pathway (GO:0071875)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
CTP metabolic process (GO:0046036)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
AMP metabolic process (GO:0046033)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
cellular response to catecholamine stimulus (GO:0071870)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
multivesicular body assembly (GO:0036258)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
multivesicular body organization (GO:0036257)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
astral microtubule nucleation (GO:0030954)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
astral microtubule organization (GO:0030953)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of cytoskeleton polarity (GO:0030952)	47	0	.34	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of actin cytoskeleton polarity (GO:0030950)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
COPII vesicle coating (GO:0048208)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
xenobiotic transport (GO:0042908)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
xanthine transport (GO:0042906)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
COPI coating of Golgi vesicle (GO:0048205)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of actomyosin structure organization (GO:0110020)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
response to catecholamine (GO:0071869)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular response to monoamine stimulus (GO:0071868)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
response to monoamine (GO:0071867)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
Golgi transport vesicle coating (GO:0048200)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030949)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
protein localization to Golgi apparatus (GO:0034067)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
cap-independent translational initiation of linear mRNA (GO:0110017)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stress granule assembly (GO:0034063)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of basement membrane organization (GO:0110011)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
basolateral protein secretion (GO:0110010)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of transcription by glucose (GO:0046015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of oskar mRNA translation (GO:0046012)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of oskar mRNA translation (GO:0046011)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
response to anoxia (GO:0034059)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
endosomal vesicle fusion (GO:0034058)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of female receptivity, post-mating (GO:0046008)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
actin filament debranching (GO:0071846)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of ecdysteroid secretion (GO:0046000)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to nuclear inner membrane (GO:0036228)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
receptor-mediated endocytosis (GO:0006898)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of gene expression, epigenetic (GO:0141137)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
endocytosis (GO:0006897)	164	0	1.20	-	 < 0.01	6.36E-01	1.00E00
Golgi to vacuole transport (GO:0006896)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
Golgi to endosome transport (GO:0006895)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Golgi to plasma membrane transport (GO:0006893)	24	0	.18	-	 < 0.01	1.00E00	1.00E00
post-Golgi vesicle-mediated transport (GO:0006892)	36	0	.26	-	 < 0.01	1.00E00	1.00E00
intra-Golgi vesicle-mediated transport (GO:0006891)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
mating pheromone secretion (GO:0071834)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	72	0	.53	-	 < 0.01	1.00E00	1.00E00
contractile ring contraction (GO:0036213)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
exocytosis (GO:0006887)	95	0	.69	-	 < 0.01	1.00E00	1.00E00
intracellular protein transport (GO:0006886)	248	0	1.81	-	 < 0.01	2.68E-01	1.00E00
protein modification process (GO:0036211)	775	0	5.66	-	 < 0.01	7.03E-03	8.62E-01
regulation of pH (GO:0006885)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside bisphosphate catabolic process (GO:0034037)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intracellular signaling cassette (GO:0141124)	186	0	1.36	-	 < 0.01	6.49E-01	1.00E00
cell volume homeostasis (GO:0006884)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside bisphosphate biosynthetic process (GO:0034036)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intracellular sodium ion homeostasis (GO:0006883)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleoside bisphosphate catabolic process (GO:0034034)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
intracellular sequestering of iron ion (GO:0006880)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside bisphosphate catabolic process (GO:0034031)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-RNA complex organization (GO:0071826)	115	0	.84	-	 < 0.01	1.00E00	1.00E00
protein-DNA complex organization (GO:0071824)	345	0	2.52	-	 < 0.01	1.85E-01	1.00E00
protein splicing (GO:0030908)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intracellular iron ion homeostasis (GO:0006879)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
intracellular copper ion homeostasis (GO:0006878)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
intracellular calcium ion homeostasis (GO:0006874)	48	0	.35	-	 < 0.01	1.00E00	1.00E00
positive regulation of cGAS/STING signaling pathway (GO:0141111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tail-anchored membrane protein insertion into ER membrane (GO:0071816)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide transport (GO:0006864)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleobase transport (GO:0006863)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide transport (GO:0006862)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
replication fork arrest involved in DNA replication termination (GO:0071807)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein transmembrane transport (GO:0071806)	55	0	.40	-	 < 0.01	1.00E00	1.00E00
potassium ion transmembrane transport (GO:0071805)	48	0	.35	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell differentiation (GO:0045597)	117	0	.86	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell differentiation (GO:0045596)	89	0	.65	-	 < 0.01	1.00E00	1.00E00
regulation of cell differentiation (GO:0045595)	271	0	1.98	-	 < 0.01	2.71E-01	1.00E00
mitochondrial RNA modification (GO:1900864)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
extracellular transport (GO:0006858)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
oligopeptide transport (GO:0006857)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
eye pigment precursor transport (GO:0006856)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
xenobiotic transmembrane transport (GO:0006855)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial calcium ion transmembrane transport (GO:0006851)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial pyruvate transmembrane transport (GO:0006850)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
specification of animal organ identity (GO:0010092)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane pyruvate transport (GO:0006849)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyruvate transport (GO:0006848)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
acetate transport (GO:0006846)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial citrate transmembrane transport (GO:0006843)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid transport (GO:0006842)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
non-proteinogenic amino acid catabolic process (GO:0170044)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
non-proteinogenic amino acid biosynthetic process (GO:0170043)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
non-proteinogenic amino acid metabolic process (GO:0170041)	54	0	.39	-	 < 0.01	1.00E00	1.00E00
polarity specification of proximal/distal axis (GO:0010085)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
